analysis,dataset,model,seed,fold,primary_metric,best_params_json,threshold,train_n,test_n,train_positive,train_negative,test_positive,test_negative,train_groups,test_groups,tn,fp,fn,tp,elapsed_seconds_model_seed,ROC_AUC,PR_AUC,F1,MCC,Sensitivity,Specificity,Balanced_Acc,Brier
main_nested_cv,Dataset1_Urinalysis,logreg,2,0,ROC_AUC,"{""clf__C"": 1.248403080828608}",0.5870523946692697,304,76,192,112,47,29,,,25,4,9,38,9.424829006195068,0.9486426999266324,0.9682872893264233,0.8539325842696629,0.6551400719895558,0.8085106382978723,0.8620689655172413,0.8352898019075568,0.09385980623664261
main_nested_cv,Dataset1_Urinalysis,logreg,2,1,ROC_AUC,"{""clf__C"": 1.248403080828608}",0.4552822980744583,304,76,191,113,48,28,,,24,4,7,41,9.424829006195068,0.9642857142857142,0.9799034148751256,0.8817204301075269,0.6981860289436607,0.8541666666666666,0.8571428571428571,0.8556547619047619,0.07883955665574562
main_nested_cv,Dataset1_Urinalysis,logreg,2,2,ROC_AUC,"{""clf__C"": 0.5601603817503298}",0.39741135232361596,304,76,191,113,48,28,,,21,7,1,47,9.424829006195068,0.9613095238095237,0.9757382739126286,0.9215686274509803,0.7755650342392028,0.9791666666666666,0.75,0.8645833333333333,0.07922465440636998
main_nested_cv,Dataset1_Urinalysis,logreg,2,3,ROC_AUC,"{""clf__C"": 0.36973503614355435}",0.30328128712533214,304,76,191,113,48,28,,,25,3,0,48,9.424829006195068,0.9925595238095238,0.9956919010304018,0.9696969696969697,0.9166984970282113,1.0,0.8928571428571429,0.9464285714285714,0.040162318888004325
main_nested_cv,Dataset1_Urinalysis,logreg,2,4,ROC_AUC,"{""clf__C"": 0.36973503614355435}",0.2712108789280964,304,76,191,113,48,28,,,24,4,1,47,9.424829006195068,0.9761904761904762,0.9851405081100604,0.9494949494949495,0.8586409255497579,0.9791666666666666,0.8571428571428571,0.9181547619047619,0.0561813306580678
main_nested_cv,Dataset1_Urinalysis,decision_tree,0,0,ROC_AUC,"{""clf__min_samples_split"": 10, ""clf__min_samples_leaf"": 20, ""clf__max_depth"": 4, ""clf__ccp_alpha"": 0.001}",0.36945812807881784,304,76,192,112,47,29,,,21,8,3,44,6.0923991203308105,0.9159941305942774,0.9384838059110534,0.8888888888888888,0.6900606912065013,0.9361702127659575,0.7241379310344828,0.8301540719002201,0.10661277686217403
main_nested_cv,Dataset1_Urinalysis,decision_tree,0,1,ROC_AUC,"{""clf__min_samples_split"": 20, ""clf__min_samples_leaf"": 5, ""clf__max_depth"": 6, ""clf__ccp_alpha"": 0.0001}",0.18201638627403716,304,76,191,113,48,28,,,21,7,1,47,6.0923991203308105,0.9267113095238094,0.9303485329415735,0.9215686274509803,0.7755650342392028,0.9791666666666666,0.75,0.8645833333333333,0.10321921954999436
main_nested_cv,Dataset1_Urinalysis,decision_tree,0,2,ROC_AUC,"{""clf__min_samples_split"": 10, ""clf__min_samples_leaf"": 20, ""clf__max_depth"": 6, ""clf__ccp_alpha"": 0.0}",0.2988327307735478,304,76,191,113,48,28,,,23,5,6,42,6.0923991203308105,0.9255952380952381,0.9520666873916203,0.8842105263157894,0.6915574853771564,0.875,0.8214285714285714,0.8482142857142857,0.1099306780528156
main_nested_cv,Dataset1_Urinalysis,decision_tree,0,3,ROC_AUC,"{""clf__min_samples_split"": 10, ""clf__min_samples_leaf"": 20, ""clf__max_depth"": 6, ""clf__ccp_alpha"": 0.0}",0.5545889517181384,304,76,191,113,48,28,,,19,9,7,41,6.0923991203308105,0.900297619047619,0.9384777863379559,0.8367346938775511,0.5416786417385782,0.8541666666666666,0.6785714285714286,0.7663690476190477,0.1294104044142601
main_nested_cv,Dataset1_Urinalysis,decision_tree,0,4,ROC_AUC,"{""clf__min_samples_split"": 20, ""clf__min_samples_leaf"": 5, ""clf__max_depth"": 6, ""clf__ccp_alpha"": 0.0001}",0.1152073732718894,304,76,191,113,48,28,,,17,11,1,47,6.0923991203308105,0.9356398809523809,0.948879678540729,0.8867924528301887,0.6652369041633427,0.9791666666666666,0.6071428571428571,0.7931547619047619,0.08981745398641892
main_nested_cv,Dataset1_Urinalysis,decision_tree,1,0,ROC_AUC,"{""clf__min_samples_split"": 2, ""clf__min_samples_leaf"": 20, ""clf__max_depth"": 8, ""clf__ccp_alpha"": 0.0001}",0.417298937784522,304,76,192,112,47,29,,,25,4,3,44,6.04109263420105,0.9688187820983125,0.9739546800717014,0.9263157894736842,0.803861692404216,0.9361702127659575,0.8620689655172413,0.8991195891415994,0.07543534511800627
main_nested_cv,Dataset1_Urinalysis,decision_tree,1,1,ROC_AUC,"{""clf__min_samples_split"": 2, ""clf__min_samples_leaf"": 20, ""clf__max_depth"": 8, ""clf__ccp_alpha"": 0.0001}",0.40094339622641517,304,76,191,113,48,28,,,23,5,4,44,6.04109263420105,0.9423363095238095,0.9472688206069928,0.9072164948453608,0.7439300738594313,0.9166666666666666,0.8214285714285714,0.8690476190476191,0.09110546626366806
main_nested_cv,Dataset1_Urinalysis,decision_tree,1,2,ROC_AUC,"{""clf__min_samples_split"": 10, ""clf__min_samples_leaf"": 10, ""clf__max_depth"": 3, ""clf__ccp_alpha"": 0.001}",0.28089887640449435,304,76,191,113,48,28,,,18,10,4,44,6.04109263420105,0.9203869047619048,0.9382271176092871,0.8627450980392157,0.5951274548447759,0.9166666666666666,0.6428571428571429,0.7797619047619048,0.09752108849193386
main_nested_cv,Dataset1_Urinalysis,decision_tree,1,3,ROC_AUC,"{""clf__min_samples_split"": 20, ""clf__min_samples_leaf"": 10, ""clf__max_depth"": null, ""clf__ccp_alpha"": 0.0}",0.3799790117260574,304,76,191,113,48,28,,,25,3,10,38,6.04109263420105,0.924107142857143,0.9497334814236701,0.8539325842696629,0.6624639388052419,0.7916666666666666,0.8928571428571429,0.8422619047619048,0.1350652792299553
main_nested_cv,Dataset1_Urinalysis,decision_tree,1,4,ROC_AUC,"{""clf__min_samples_split"": 2, ""clf__min_samples_leaf"": 20, ""clf__max_depth"": 8, ""clf__ccp_alpha"": 0.0001}",0.3593537262561453,304,76,191,113,48,28,,,20,8,5,43,6.04109263420105,0.8790922619047618,0.8847209888775681,0.8686868686868687,0.6264106396359443,0.8958333333333334,0.7142857142857143,0.8050595238095238,0.13060497979211885
main_nested_cv,Dataset1_Urinalysis,decision_tree,2,0,ROC_AUC,"{""clf__min_samples_split"": 20, ""clf__min_samples_leaf"": 1, ""clf__max_depth"": 12, ""clf__ccp_alpha"": 0.0}",0.36633663366336633,304,76,192,112,47,29,,,24,5,4,43,5.962008476257324,0.941672780630961,0.9481822658820221,0.9052631578947369,0.7477095888906862,0.9148936170212766,0.8275862068965517,0.8712399119589141,0.10502209370336466
main_nested_cv,Dataset1_Urinalysis,decision_tree,2,1,ROC_AUC,"{""clf__min_samples_split"": 10, ""clf__min_samples_leaf"": 2, ""clf__max_depth"": null, ""clf__ccp_alpha"": 0.0001}",0.55618600503269,304,76,191,113,48,28,,,26,2,5,43,5.962008476257324,0.9174107142857144,0.9291495897334625,0.9247311827956989,0.8091946862652468,0.8958333333333334,0.9285714285714286,0.9122023809523809,0.08705784179334886
main_nested_cv,Dataset1_Urinalysis,decision_tree,2,2,ROC_AUC,"{""clf__min_samples_split"": 2, ""clf__min_samples_leaf"": 5, ""clf__max_depth"": 12, ""clf__ccp_alpha"": 0.0}",0.5448028673835126,304,76,191,113,48,28,,,24,4,14,34,5.962008476257324,0.8578869047619047,0.8770643273434258,0.7906976744186046,0.545544725589981,0.7083333333333334,0.8571428571428571,0.7827380952380952,0.15626643743137733
main_nested_cv,Dataset1_Urinalysis,decision_tree,2,3,ROC_AUC,"{""clf__min_samples_split"": 20, ""clf__min_samples_leaf"": 5, ""clf__max_depth"": null, ""clf__ccp_alpha"": 0.0}",0.3237486687965921,304,76,191,113,48,28,,,23,5,1,47,5.962008476257324,0.9497767857142857,0.9476908684707495,0.94,0.8308169424243176,0.9791666666666666,0.8214285714285714,0.9002976190476191,0.060853030340101165
main_nested_cv,Dataset1_Urinalysis,decision_tree,2,4,ROC_AUC,"{""clf__min_samples_split"": 2, ""clf__min_samples_leaf"": 10, ""clf__max_depth"": 3, ""clf__ccp_alpha"": 0.001}",0.5993690851735018,304,76,191,113,48,28,,,26,2,8,40,5.962008476257324,0.9508928571428571,0.9489759117516471,0.8888888888888888,0.7391561905869195,0.8333333333333334,0.9285714285714286,0.8809523809523809,0.08145203952578448
main_nested_cv,Dataset1_Urinalysis,random_forest,0,0,ROC_AUC,"{""clf__n_estimators"": 400, ""clf__min_samples_leaf"": 5, ""clf__max_features"": ""sqrt"", ""clf__max_depth"": null}",0.4350112269977687,304,76,192,112,47,29,,,25,4,2,45,138.53202033042908,0.9750550256786501,0.9851469209715429,0.9375,0.831812271500155,0.9574468085106383,0.8620689655172413,0.9097578870139398,0.06875503244400112
main_nested_cv,Dataset1_Urinalysis,random_forest,0,1,ROC_AUC,"{""clf__n_estimators"": 600, ""clf__min_samples_leaf"": 2, ""clf__max_features"": ""sqrt"", ""clf__max_depth"": 16}",0.548093588928153,304,76,191,113,48,28,,,26,2,7,41,138.53202033042908,0.9627976190476191,0.979002240698252,0.9010989010989011,0.7617718284817389,0.8541666666666666,0.9285714285714286,0.8913690476190477,0.08074766389985169
main_nested_cv,Dataset1_Urinalysis,random_forest,0,2,ROC_AUC,"{""clf__n_estimators"": 200, ""clf__min_samples_leaf"": 5, ""clf__max_features"": ""sqrt"", ""clf__max_depth"": 10}",0.46468573157290377,304,76,191,113,48,28,,,25,3,3,45,138.53202033042908,0.9769345238095237,0.9860947532798392,0.9375,0.8303571428571429,0.9375,0.8928571428571429,0.9151785714285714,0.07195697361266999
main_nested_cv,Dataset1_Urinalysis,random_forest,0,3,ROC_AUC,"{""clf__n_estimators"": 600, ""clf__min_samples_leaf"": 2, ""clf__max_features"": ""sqrt"", ""clf__max_depth"": 16}",0.5505859438431018,304,76,191,113,48,28,,,24,4,5,43,138.53202033042908,0.9627976190476191,0.9754726780260885,0.9052631578947369,0.7477095888906862,0.8958333333333334,0.8571428571428571,0.8764880952380952,0.07722125272759281
main_nested_cv,Dataset1_Urinalysis,random_forest,0,4,ROC_AUC,"{""clf__n_estimators"": 200, ""clf__min_samples_leaf"": 2, ""clf__max_features"": ""sqrt"", ""clf__max_depth"": 16}",0.3960519944106351,304,76,191,113,48,28,,,21,7,1,47,138.53202033042908,0.9717261904761905,0.9842583290694642,0.9215686274509803,0.7755650342392028,0.9791666666666666,0.75,0.8645833333333333,0.06952398484831357
main_nested_cv,Dataset1_Urinalysis,random_forest,1,0,ROC_AUC,"{""clf__n_estimators"": 200, ""clf__min_samples_leaf"": 2, ""clf__max_features"": ""log2"", ""clf__max_depth"": 10}",0.3749544012344963,304,76,192,112,47,29,,,25,4,1,46,134.49584007263184,0.9867938371239912,0.9920509124876002,0.9484536082474226,0.8609243939641741,0.9787234042553191,0.8620689655172413,0.9203961848862803,0.059436290663251866
main_nested_cv,Dataset1_Urinalysis,random_forest,1,1,ROC_AUC,"{""clf__n_estimators"": 200, ""clf__min_samples_leaf"": 2, ""clf__max_features"": ""log2"", ""clf__max_depth"": 10}",0.4965728166510432,304,76,191,113,48,28,,,26,2,2,46,134.49584007263184,0.9784226190476191,0.9865316849606532,0.9583333333333334,0.8869047619047619,0.9583333333333334,0.9285714285714286,0.9434523809523809,0.06017113730408088
main_nested_cv,Dataset1_Urinalysis,random_forest,1,2,ROC_AUC,"{""clf__n_estimators"": 400, ""clf__min_samples_leaf"": 2, ""clf__max_features"": ""sqrt"", ""clf__max_depth"": 10}",0.44178746831532795,304,76,191,113,48,28,,,24,4,1,47,134.49584007263184,0.9687500000000001,0.981363182943221,0.9494949494949495,0.8586409255497579,0.9791666666666666,0.8571428571428571,0.9181547619047619,0.06875055150679643
main_nested_cv,Dataset1_Urinalysis,random_forest,1,3,ROC_AUC,"{""clf__n_estimators"": 200, ""clf__min_samples_leaf"": 1, ""clf__max_features"": ""log2"", ""clf__max_depth"": 16}",0.43990000000000007,304,76,191,113,48,28,,,26,2,5,43,134.49584007263184,0.9795386904761905,0.9868862501245997,0.9247311827956989,0.8091946862652468,0.8958333333333334,0.9285714285714286,0.9122023809523809,0.07126052631578947
main_nested_cv,Dataset1_Urinalysis,random_forest,1,4,ROC_AUC,"{""clf__n_estimators"": 400, ""clf__min_samples_leaf"": 2, ""clf__max_features"": ""sqrt"", ""clf__max_depth"": 10}",0.4338071553519684,304,76,191,113,48,28,,,21,7,0,48,134.49584007263184,0.9828869047619049,0.9896368468921135,0.9320388349514563,0.8090398349558905,1.0,0.75,0.875,0.06359280142580619
main_nested_cv,Dataset1_Urinalysis,random_forest,2,0,ROC_AUC,"{""clf__n_estimators"": 200, ""clf__min_samples_leaf"": 1, ""clf__max_features"": ""log2"", ""clf__max_depth"": 6}",0.42910511891644953,304,76,192,112,47,29,,,23,6,1,46,117.0351734161377,0.9699192956713133,0.9812726859511696,0.9292929292929293,0.806604274610266,0.9787234042553191,0.7931034482758621,0.8859134262655906,0.07129605488288579
main_nested_cv,Dataset1_Urinalysis,random_forest,2,1,ROC_AUC,"{""clf__n_estimators"": 200, ""clf__min_samples_leaf"": 1, ""clf__max_features"": ""log2"", ""clf__max_depth"": 6}",0.4613338984548659,304,76,191,113,48,28,,,24,4,4,44,117.0351734161377,0.9680059523809523,0.9829634988492769,0.9166666666666666,0.7738095238095238,0.9166666666666666,0.8571428571428571,0.8869047619047619,0.07762782230319847
main_nested_cv,Dataset1_Urinalysis,random_forest,2,2,ROC_AUC,"{""clf__n_estimators"": 400, ""clf__min_samples_leaf"": 2, ""clf__max_features"": ""log2"", ""clf__max_depth"": null}",0.564510298075033,304,76,191,113,48,28,,,23,5,5,43,117.0351734161377,0.9501488095238095,0.9680932802203026,0.8958333333333334,0.7172619047619048,0.8958333333333334,0.8214285714285714,0.8586309523809523,0.08742472274914483
main_nested_cv,Dataset1_Urinalysis,random_forest,2,3,ROC_AUC,"{""clf__n_estimators"": 200, ""clf__min_samples_leaf"": 1, ""clf__max_features"": ""log2"", ""clf__max_depth"": 6}",0.4916590675746196,304,76,191,113,48,28,,,25,3,2,46,117.0351734161377,0.9851190476190477,0.9919010150739557,0.9484536082474226,0.8579193593701507,0.9583333333333334,0.8928571428571429,0.9255952380952381,0.05357366205031738
main_nested_cv,Dataset1_Urinalysis,random_forest,2,4,ROC_AUC,"{""clf__n_estimators"": 400, ""clf__min_samples_leaf"": 2, ""clf__max_features"": ""log2"", ""clf__max_depth"": null}",0.4261604434437018,304,76,191,113,48,28,,,23,5,1,47,117.0351734161377,0.9754464285714286,0.9835948176242876,0.94,0.8308169424243176,0.9791666666666666,0.8214285714285714,0.9002976190476191,0.05859496473400026
main_nested_cv,Dataset1_Urinalysis,xgboost,0,0,ROC_AUC,"{""clf__colsample_bytree"": 1.0, ""clf__learning_rate"": 0.056343465203088264, ""clf__max_depth"": 4, ""clf__min_child_weight"": 3, ""clf__n_estimators"": 600, ""clf__reg_lambda"": 0.5, ""clf__subsample"": 0.85}",0.20259808003902421,304,76,192,112,47,29,,,22,7,3,44,46.41948413848877,0.9618488628026413,0.977732074312559,0.8979591836734694,0.718367967643002,0.9361702127659575,0.7586206896551724,0.8473954512105649,0.08360648813397858
main_nested_cv,Dataset1_Urinalysis,xgboost,0,1,ROC_AUC,"{""clf__colsample_bytree"": 0.7, ""clf__learning_rate"": 0.023304433779035464, ""clf__max_depth"": 8, ""clf__min_child_weight"": 1, ""clf__n_estimators"": 600, ""clf__reg_lambda"": 2.0, ""clf__subsample"": 0.7}",0.33608761608600646,304,76,191,113,48,28,,,24,4,4,44,46.41948413848877,0.9665178571428572,0.9806287633377603,0.9166666666666666,0.7738095238095238,0.9166666666666666,0.8571428571428571,0.8869047619047619,0.08436040160473124
main_nested_cv,Dataset1_Urinalysis,xgboost,0,2,ROC_AUC,"{""clf__colsample_bytree"": 0.7, ""clf__learning_rate"": 0.03803564373259426, ""clf__max_depth"": 4, ""clf__min_child_weight"": 3, ""clf__n_estimators"": 200, ""clf__reg_lambda"": 1.0, ""clf__subsample"": 0.7}",0.4350037360191345,304,76,191,113,48,28,,,24,4,4,44,46.41948413848877,0.9784226190476191,0.9873901456286952,0.9166666666666666,0.7738095238095238,0.9166666666666666,0.8571428571428571,0.8869047619047619,0.0657877291468475
main_nested_cv,Dataset1_Urinalysis,xgboost,0,3,ROC_AUC,"{""clf__colsample_bytree"": 0.85, ""clf__learning_rate"": 0.019743271501109723, ""clf__max_depth"": 3, ""clf__min_child_weight"": 1, ""clf__n_estimators"": 600, ""clf__reg_lambda"": 1.0, ""clf__subsample"": 1.0}",0.5309469139575959,304,76,191,113,48,28,,,23,5,4,44,46.41948413848877,0.9538690476190476,0.9660085548019751,0.9072164948453608,0.7439300738594313,0.9166666666666666,0.8214285714285714,0.8690476190476191,0.07540955834950894
main_nested_cv,Dataset1_Urinalysis,xgboost,0,4,ROC_AUC,"{""clf__colsample_bytree"": 0.7, ""clf__learning_rate"": 0.054777155006555896, ""clf__max_depth"": 8, ""clf__min_child_weight"": 1, ""clf__n_estimators"": 200, ""clf__reg_lambda"": 0.5, ""clf__subsample"": 0.7}",0.08210666291415691,304,76,191,113,48,28,,,18,10,0,48,46.41948413848877,0.9828869047619047,0.9911249005127067,0.9056603773584906,0.729396808625797,1.0,0.6428571428571429,0.8214285714285714,0.05188729571261573
main_nested_cv,Dataset1_Urinalysis,xgboost,1,0,ROC_AUC,"{""clf__colsample_bytree"": 0.85, ""clf__learning_rate"": 0.049567103396566684, ""clf__max_depth"": 4, ""clf__min_child_weight"": 1, ""clf__n_estimators"": 600, ""clf__reg_lambda"": 0.5, ""clf__subsample"": 0.85}",0.48394606173038485,304,76,192,112,47,29,,,27,2,7,40,50.648051500320435,0.9779897285399852,0.9857390197885294,0.898876404494382,0.7640911561716264,0.851063829787234,0.9310344827586207,0.8910491562729274,0.07745332501949215
main_nested_cv,Dataset1_Urinalysis,xgboost,1,1,ROC_AUC,"{""clf__colsample_bytree"": 0.7, ""clf__learning_rate"": 0.07421227309649739, ""clf__max_depth"": 6, ""clf__min_child_weight"": 1, ""clf__n_estimators"": 200, ""clf__reg_lambda"": 5.0, ""clf__subsample"": 0.85}",0.5462577891349792,304,76,191,113,48,28,,,26,2,5,43,50.648051500320435,0.9873511904761905,0.9928143008612383,0.9247311827956989,0.8091946862652468,0.8958333333333334,0.9285714285714286,0.9122023809523809,0.04760939413222705
main_nested_cv,Dataset1_Urinalysis,xgboost,1,2,ROC_AUC,"{""clf__colsample_bytree"": 0.7, ""clf__learning_rate"": 0.04293117310213651, ""clf__max_depth"": 8, ""clf__min_child_weight"": 1, ""clf__n_estimators"": 600, ""clf__reg_lambda"": 2.0, ""clf__subsample"": 0.7}",0.37429317593574524,304,76,191,113,48,28,,,23,5,2,46,50.648051500320435,0.9598214285714286,0.9703436873831601,0.9292929292929293,0.8005833540713045,0.9583333333333334,0.8214285714285714,0.8898809523809523,0.06769864774467953
main_nested_cv,Dataset1_Urinalysis,xgboost,1,3,ROC_AUC,"{""clf__colsample_bytree"": 0.7, ""clf__learning_rate"": 0.04293117310213651, ""clf__max_depth"": 8, ""clf__min_child_weight"": 1, ""clf__n_estimators"": 600, ""clf__reg_lambda"": 2.0, ""clf__subsample"": 0.7}",0.5135860598087311,304,76,191,113,48,28,,,27,1,7,41,50.648051500320435,0.9732142857142857,0.9843247589938572,0.9111111111111111,0.7940154391070425,0.8541666666666666,0.9642857142857143,0.9092261904761905,0.08076212968771801
main_nested_cv,Dataset1_Urinalysis,xgboost,1,4,ROC_AUC,"{""clf__colsample_bytree"": 0.7, ""clf__learning_rate"": 0.07421227309649739, ""clf__max_depth"": 6, ""clf__min_child_weight"": 1, ""clf__n_estimators"": 200, ""clf__reg_lambda"": 5.0, ""clf__subsample"": 0.85}",0.3833482182025909,304,76,191,113,48,28,,,23,5,0,48,50.648051500320435,0.9851190476190477,0.9911992312940998,0.9504950495049505,0.8625168461966675,1.0,0.8214285714285714,0.9107142857142857,0.050820072470628155
main_nested_cv,Dataset1_Urinalysis,xgboost,2,0,ROC_AUC,"{""clf__colsample_bytree"": 0.7, ""clf__learning_rate"": 0.13487717742078165, ""clf__max_depth"": 8, ""clf__min_child_weight"": 1, ""clf__n_estimators"": 200, ""clf__reg_lambda"": 1.0, ""clf__subsample"": 0.85}",0.14700546115636823,304,76,192,112,47,29,,,21,8,2,45,50.17788600921631,0.9479090242112986,0.9690562808045748,0.9,0.7207189368406861,0.9574468085106383,0.7241379310344828,0.8407923697725606,0.11142139538536648
main_nested_cv,Dataset1_Urinalysis,xgboost,2,1,ROC_AUC,"{""clf__colsample_bytree"": 0.85, ""clf__learning_rate"": 0.0268531671355332, ""clf__max_depth"": 8, ""clf__min_child_weight"": 1, ""clf__n_estimators"": 600, ""clf__reg_lambda"": 0.5, ""clf__subsample"": 1.0}",0.1927790600061417,304,76,191,113,48,28,,,24,4,2,46,50.17788600921631,0.9776785714285715,0.9864646303276482,0.9387755102040817,0.8291617197562594,0.9583333333333334,0.8571428571428571,0.9077380952380952,0.07203057854913443
