outer_fold,feature,feature_family,mean_abs_shap,rank
4,zarda_betel_delta1,zarda_betel,0.0,70.0
4,zarda_betel_past_mean,zarda_betel,0.005498464076705185,62.0
4,walk_regularly_lag1,walk_regularly,0.0025718204702755384,67.0
4,walk_regularly_delta1,walk_regularly,0.0,70.0
4,walk_regularly_past_mean,walk_regularly,0.030813369536469494,43.0
4,urination_proper_lag1,urination_proper,0.026879455751365123,47.0
4,urination_proper_delta1,urination_proper,0.0,70.0
4,urination_proper_past_mean,urination_proper,0.006103931253017709,61.0
4,urinary_infection_lag1,urinary_infection,0.010308463159649856,58.0
4,urinary_infection_delta1,urinary_infection,0.0,70.0
4,urinary_infection_past_mean,urinary_infection,0.1358056460315606,28.0
4,pain_killer_lag1,pain_killer,0.029055975829621595,46.0
4,pain_killer_delta1,pain_killer,0.0,70.0
4,pain_killer_past_mean,pain_killer,0.2125772981639327,23.0
4,weight_kg_past_min,weight_kg,0.26905365825515937,11.0
4,weight_kg_past_max,weight_kg,0.26232791453594756,12.0
4,weight_kg_past_slope,weight_kg,0.3969595672401216,9.0
4,bmi_current_past_min,bmi,0.17129518567215804,27.0
4,bmi_current_past_max,bmi,0.5149780834007995,4.0
4,bmi_current_past_slope,bmi,0.22903321673611135,20.0
4,calorie_intake_past_min,calorie_intake,0.0016005191762551827,68.0
4,calorie_intake_past_max,calorie_intake,0.0027688424951610516,66.0
4,calorie_intake_past_slope,calorie_intake,0.4998604528604765,6.0
5,gender,gender,0.011459572291769802,46.0
5,job,job,0.028464681579682453,35.0
5,family_diabetes,family_diabetes,0.05416438111199666,27.0
5,height_cm,height_cm,0.12651692334587672,10.0
5,diabetic_year,diabetic_year,0.60207317822043,2.0
5,age,age,0.1322124095363467,9.0
5,weight_kg,weight_kg,0.1235175581566766,11.0
5,bmi_current,bmi,0.11332231743836241,13.0
5,follow_diet,follow_diet,0.02501639659451547,37.0
5,take_medicine,take_medicine,0.01144273830628696,47.0
5,insulin,insulin,0.1013145518586749,17.0
5,hypertension,hypertension,0.0059147862197191925,59.0
5,heart_disease,heart_disease,0.13959994939207274,8.0
5,sleep_sufficient,sleep_sufficient,0.026271039312106285,36.0
5,water_sufficient,water_sufficient,0.004966059878346448,60.0
5,smoke,smoke,0.001558569771837873,68.0
5,zarda_betel,zarda_betel,0.0017988826026145916,67.0
5,walk_regularly,walk_regularly,0.0571804204313185,25.0
5,urination_proper,urination_proper,0.01197601919611045,45.0
5,urinary_infection,urinary_infection,0.06663039374046778,21.0
5,pain_killer,pain_killer,0.009290399540411812,49.0
5,calorie_intake,calorie_intake,0.20659096737676055,5.0
5,prior_visit_count,prior_visit_count,0.8941603912549702,1.0
5,weight_kg_lag1,weight_kg,0.0362275406710854,32.0
5,weight_kg_delta1,weight_kg,0.06082079025139543,23.0
5,weight_kg_past_mean,weight_kg,0.15043165908345998,6.0
5,bmi_current_lag1,bmi,0.060674386752146266,24.0
5,bmi_current_delta1,bmi,0.14527648196185353,7.0
5,bmi_current_past_mean,bmi,0.05289762504057605,29.0
5,calorie_intake_lag1,calorie_intake,0.0670890602094673,20.0
5,calorie_intake_delta1,calorie_intake,0.0,70.0
5,calorie_intake_past_mean,calorie_intake,0.00701606988951837,55.0
5,follow_diet_lag1,follow_diet,0.008655985231173866,50.0
5,follow_diet_delta1,follow_diet,0.11202246074793189,14.0
5,follow_diet_past_mean,follow_diet,0.042087701032133766,31.0
5,take_medicine_lag1,take_medicine,0.008289390801081702,52.0
5,take_medicine_delta1,take_medicine,0.003450806485508513,62.0
5,take_medicine_past_mean,take_medicine,0.05516709916893898,26.0
5,insulin_lag1,insulin,0.0029111698878417523,63.0
5,insulin_delta1,insulin,0.013691203419151879,42.0
5,insulin_past_mean,insulin,0.11055671104595591,15.0
5,hypertension_lag1,hypertension,0.0019579408866112736,65.0
5,hypertension_delta1,hypertension,0.0012577260933120818,69.0
5,hypertension_past_mean,hypertension,0.03362974124633399,34.0
5,heart_disease_lag1,heart_disease,0.008638921943071028,51.0
5,heart_disease_delta1,heart_disease,0.0,70.0
5,heart_disease_past_mean,heart_disease,0.015262631010172882,40.0
