Feature_1,Feature_2,Mean_Interaction,SD_Interaction,Interaction_Rank
blood,pus_cells,0.0014199430432624014,0.0005695003048288344,51
gender,red_cells,0.0014189278028952906,0.0007730976064830512,52
albumin,blood,0.001398933562868349,0.0006217768076052023,53
bpigment,co,0.0013887983717795031,0.0005555096203700964,54
epi_cells,mt,0.001383264720275636,0.0012310429263245703,55
u_clarity,co,0.00137089331339099,0.0003025410746740831,56
mt,bacteria,0.0013666094840622573,0.0006557828920173127,57
age,u_clarity,0.0013248341308925932,0.00023320055668079017,58
albumin,bpigment,0.0013142446152859624,0.0004378306001918537,59
albumin,epi_cells,0.001308420570798892,0.0007416462053883243,60
ph,red_cells,0.0012830284092216892,0.0002774025824986853,61
gender,bacteria,0.0012782803388173502,0.0004428572963545195,62
kb,co,0.0012672274218881133,0.0007317274398588358,63
epi_cells,co,0.0012563792754758398,0.0003598283589042256,64
albumin,kb,0.0012437231670313796,0.00041317078389701157,65
albumin,sugar,0.001158969910517118,0.00029555130161298114,66
red_cells,epi_cells,0.0011391580525929215,0.0004434471241348567,67
gender,albumin,0.0011309971131638291,0.0005737649224354456,68
ph,bpigment,0.001125377172522661,0.000520019935330479,69
sugar,bacteria,0.0011180607917460664,0.0004861523861200187,70
red_cells,cc,0.0010278838516602608,0.00034385344683603364,71
age,gc,0.001016894584653721,0.0005373047612549654,72
sp_g,mt,0.0010083362792708897,0.0004670686473025474,73
ph,mt,0.0009992772144890943,0.00035980497137694337,74
age,sp_g,0.0009991290717627952,0.00030538967309079316,75
age,ph,0.0009766569422060476,0.0001830738867621408,76
blood,gc,0.0009688219518901017,0.00024759710754290807,77
age,bpigment,0.0009484128642204947,0.0005726365186538037,78
sp_g,bacteria,0.0009424005203146051,0.0002615659808854361,79
age,epi_cells,0.0009139295368613106,0.0006986353887407272,80
age,kb,0.000913715234548827,0.0005509454646410933,81
gender,ph,0.0008628514372193127,0.0004987551406834524,82
age,gender,0.0008424142554435141,0.0004710739823399892,83
blood,co,0.0007944668474214057,0.00036843074938473617,84
sugar,red_cells,0.0007897263502995467,0.00024151167601977602,85
u_clarity,bpigment,0.0007807799041828955,0.00041208600834186055,86
u_clarity,sp_g,0.0007782050450532321,0.00016239106523590355,87
albumin,cc,0.0007733162159675054,0.00046732078197638086,88
bpigment,gc,0.0007718808494520001,0.0003961471031324591,89
sp_g,gc,0.0007521090662117076,0.0004351125653998839,90
kb,gc,0.0007493187216139321,0.00047348880061816995,91
age,sugar,0.0007105122918177264,0.0003574858849120634,92
u_clarity,mt,0.0007077250314528792,0.0005158180427291447,93
u_clarity,epi_cells,0.0006970818913934931,9.383667815534751e-05,94
sugar,co,0.0006873257758055246,0.00038606998116900255,95
mt,gc,0.0006870576046916193,0.00032261934387554334,96
gender,co,0.00067634782960579,0.0003848828758788032,97
bpigment,epi_cells,0.0006522020334890355,0.0003109254026990194,98
ph,epi_cells,0.000642461023328286,0.0001855711784031392,99
ph,sp_g,0.0006336011072045277,0.0002876519084597207,100
age,cc,0.0006242310069715662,0.00042549583799110204,101
gender,sp_g,0.000611416674648213,0.00035465531024524025,102
u_clarity,blood,0.0005950115673013656,0.000258774796139955,103
kb,epi_cells,0.0005789212554947314,0.00018150621089969485,104
ph,kb,0.0005652354224869762,0.0002459531542897562,105
sp_g,bpigment,0.0005565819216828368,0.00012072407431099324,106
blood,red_cells,0.0005323904035600286,0.00018719523265428326,107
epi_cells,gc,0.0005157981974053273,0.00015891210329805524,108
ph,gc,0.0005120627381889128,0.0003029735251304992,109
blood,mt,0.0005115011525961198,0.00024772463885608826,110
kb,bpigment,0.0005078439942897743,0.00043132035819032247,111
sp_g,sugar,0.0004687934313079299,0.0003237263228096307,112
sugar,kb,0.0004620521151005542,0.00025091910282717316,113
albumin,glucose,0.00044889464343105445,0.00029998612089010156,114
sugar,bpigment,0.00044760845024969,0.00027958096575434203,115
bpigment,mt,0.00044699909524936846,0.00011480800637230361,116
age,blood,0.0004373571524414864,0.00012699589080021067,117
sugar,mt,0.00043138001574099746,0.0004766173494673144,118
kb,blood,0.0004302627585598612,0.0001877301827545964,119
gender,u_clarity,0.00042288249478014667,0.00040764507025970234,120
sp_g,epi_cells,0.0004181647849193909,0.00023500943429177005,121
co,cc,0.00041662943170730625,0.00012774738344989146,122
gender,epi_cells,0.00041541787115682963,0.00024080141034334151,123
albumin,ur_bi,0.000413887428804528,5.279539434528545e-05,124
sp_g,kb,0.00041267466105414385,0.0001363971090098036,125
bacteria,cc,0.00039936598818135163,0.00022261067234444326,126
u_clarity,sugar,0.00037828183361626673,0.0003045133684777805,127
gender,gc,0.00036807855236578824,0.0002448857685961542,128
u_clarity,gc,0.0003571588627195582,0.00015847154042351205,129
kb,mt,0.0003549215886993823,0.00020948415227422105,130
u_clarity,cc,0.00035000339975822743,0.0002352605428744688,131
u_clarity,kb,0.0003452510632675307,8.126976647738183e-05,132
ur_bi,red_cells,0.0003343078629227391,9.043883532650621e-05,133
gender,mt,0.00033276066106205517,0.00019728228075953196,134
ph,sugar,0.00032805089852375115,0.00020550636651878233,135
bpigment,blood,0.000323351108111043,0.00014876444153691726,136
bpigment,cc,0.00031111709629051383,0.0001497261600354203,137
epi_cells,cc,0.0003080106224103926,0.0002754750569500263,138
sugar,blood,0.00030776523471946705,0.00013535029140734816,139
ph,blood,0.00030193839189866757,0.0001747010463937903,140
blood,epi_cells,0.00029695105626528415,7.485221124938458e-05,141
ph,cc,0.00029510203970259987,0.00027009911372337923,142
sugar,gc,0.0002780691276548518,0.00012974628895070242,143
glucose,red_cells,0.0002676916391871569,0.00023531866319499942,144
gender,bpigment,0.0002670044904134067,0.00013385830599581142,145
sp_g,blood,0.00026296791155802597,0.00013135472394225768,146
mt,cc,0.00025839113063748397,0.00032432542460262187,147
kb,cc,0.00025373469303345054,0.00012271581063932516,148
ur_bi,bacteria,0.0002452771787009582,8.983773003208371e-05,149
sugar,cc,0.00024369298617541897,0.00016555463085035779,150
gender,kb,0.00023335761387294728,0.00020525407185082248,151
sp_g,cc,0.0002322955821318899,0.00016661292488953384,152
sugar,epi_cells,0.00022698411874468607,0.00015399859103792325,153
gc,cc,0.0002267158717001774,0.00017114697472081028,154
gender,cc,0.00022224139871058628,0.0001858934894248331,155
ph,glucose,0.00021021161026373207,0.00014657410433347424,156
glucose,mt,0.00020981775572045895,0.000199934654255035,157
ur_bi,co,0.00020353338636436622,0.00010718830568167828,158
gender,blood,0.00019257628916948314,5.6110036973161474e-05,159
glucose,pus_cells,0.00017726437889312987,0.00015254869434265967,160
ur_bi,gc,0.0001751957736439381,6.060793074633587e-05,161
glucose,bacteria,0.00015026781103695742,0.0001623404481950419,162
ur_bi,pus_cells,0.00014502589592146924,4.322414763846601e-05,163
gender,sugar,0.00013738937650044147,6.568284738140822e-05,164
ur_bi,mt,0.00012801882603446924,6.984551166310864e-05,165
blood,cc,0.00012481905892659938,5.9768344217700283e-05,166
u_clarity,glucose,0.00012423576537164537,0.0001361316167747113,167
glucose,co,0.0001144190152976544,0.00012433498818422364,168
age,ur_bi,0.00011335585105320095,3.338536847275186e-05,169
bpigment,ur_bi,0.00010742613229543414,5.5816923684015385e-05,170
ph,ur_bi,0.00010393055055296033,6.524844214118806e-05,171
kb,ur_bi,9.310866584365563e-05,5.139360881070879e-05,172
glucose,gc,8.939726963882853e-05,0.00011171680638924635,173
sugar,ur_bi,8.717270573503856e-05,2.6841881168936594e-05,174
age,glucose,8.712521061967631e-05,4.459835285301887e-05,175
sp_g,ur_bi,7.560844766401188e-05,4.5158134375802244e-05,176
u_clarity,ur_bi,6.966467504854975e-05,3.2495774930454705e-05,177
glucose,kb,6.718801917381738e-05,4.198547968594512e-05,178
sp_g,glucose,6.47707045096847e-05,6.521179832151902e-05,179
glucose,epi_cells,6.366611454378793e-05,7.00916429161597e-05,180
glucose,sugar,4.98623553705787e-05,4.220456225776918e-05,181
ur_bi,blood,4.82103110524416e-05,2.116197435133284e-05,182
glucose,bpigment,4.7495710817115216e-05,2.9526801803365783e-05,183
ur_bi,epi_cells,4.539446308943501e-05,1.9816259671523177e-05,184
glucose,cc,4.055546427299908e-05,3.142933719019158e-05,185
gender,ur_bi,3.84540183811901e-05,1.065511945000931e-05,186
glucose,blood,3.6195605465044015e-05,3.662655213830839e-05,187
gender,glucose,3.50503832809715e-05,4.444427198883891e-05,188
ur_bi,cc,3.206803158725756e-05,1.2060130132330728e-05,189
glucose,ur_bi,1.976191296419988e-05,2.842050811699254e-05,190
