Feature_1,Feature_2,Mean_Interaction,SD_Interaction,Interaction_Rank
Age,Take_Insulin,0.02091908122747621,0.01594114818007759,149
Job,Height,0.0208963182068723,0.012515821928888426,150
Zarda_Betel_Leaf,Age_Diff,0.020635330394719854,0.022085211821368876,151
Follow_suggested_Diet,BMI_per_Year,0.020545917864835794,0.028530071543074843,152
Age,Walk_Regularly,0.020428262894706218,0.014951992987982323,153
Pain_killer,Lifestyle_Score,0.0204281975398835,0.023045450839514363,154
Walk_Regularly,Risk_Score,0.020404647995723522,0.02858946467629591,155
Walk_Regularly,Urinary_Infection,0.020338733620586573,0.015592204212112448,156
Average_Age,Treatment_Score,0.02028387964422764,0.015750884030093868,157
Height,Walk_Regularly,0.020225232391425395,0.011399098900133164,158
Diabetic_Year,Weight_Diff,0.020199288285044213,0.011924974742367886,159
Sleep,Age_Diff,0.020187184600810797,0.017422650157503047,160
Current_BMI,Treatment_Score,0.02017077764818504,0.016390747770735212,161
Age,Heart_Disease,0.020115092964717446,0.03302549868774624,162
Weight,Calorie_Intake,0.01994332929757011,0.016773209231695597,163
Diabetic_Year,Weight,0.01972014514503362,0.0075288760626399855,164
Weight,Urinary_Infection,0.019568161025708707,0.01439146089282888,165
Walk_Regularly,BMI_per_Year,0.019508482341273614,0.014263441953471534,166
Family_Background_of_Diabetes,BMI_Diabetes,0.01949112791186902,0.019044949999057443,167
Take_Insulin,Weight_Diff,0.01922526588313511,0.013863568274741613,168
Walk_Regularly,Age_Diabetes,0.019192754919195303,0.014966863860618696,169
BMI_Diabetes,Risk_Score,0.019147283831741368,0.01720140133884714,170
Gender,BMI_per_Year,0.018942849920206666,0.015376800796091623,171
Age,Follow_suggested_Diet,0.018924101583532575,0.02029921377402056,172
Urination_Properly,Pain_killer,0.018843165472922738,0.016159443608886916,173
BMI,Urinary_Infection,0.018734198197146064,0.006441222603423913,174
BMI_per_Year,Risk_Score,0.01868657191963561,0.012710455945727544,175
Walk_Regularly,BMI_Diabetes,0.018588188697803508,0.014342497656616179,176
Age_Diabetes,Lifestyle_Score,0.018558163782112138,0.01600136241077239,177
Zarda_Betel_Leaf,BMI_Diabetes,0.018463012558244073,0.02959307288117157,178
Weight,Current_BMI,0.018266649840450105,0.012940254497854357,179
Take_Insulin,Urination_Properly,0.01822032082737178,0.018868907120093287,180
Family_Background_of_Diabetes,Age_Diabetes,0.01816421338907011,0.017201955323568337,181
Calorie_Intake,Treatment_Score,0.018162305508713582,0.017808933368326063,182
Take_Insulin,Calorie_Intake,0.018100984573263756,0.011982833904276633,183
Hypertension,Age_Diff,0.018024290131717968,0.018758677905210946,184
Take_Insulin,Age_Diabetes,0.018013852073899755,0.015605531919898262,185
Urination_Properly,BMI_per_Year,0.017938698827686957,0.019744033307004825,186
Pain_killer,BMI_per_Year,0.01784084463464456,0.022933777564012485,187
Average_Weight,Take_Medicine_for_Diabetes,0.017710377128446537,0.015149795046128022,188
Average_Weight,Heart_Disease,0.017575690041905484,0.020392105051048784,189
Weight_Diff,Lifestyle_Score,0.017344010287149145,0.011235856370213227,190
Job,BMI,0.017330541734195022,0.01157441237450627,191
Take_Medicine_for_Diabetes,Age_Diff,0.017252926645039687,0.008837272225438954,192
Heart_Disease,Age_Diabetes,0.017178056998391533,0.015666018317850947,193
Height,Heart_Disease,0.017153707708014616,0.013756302104783916,194
Sleep,Age_Diabetes,0.017098406416050097,0.020150688703033836,195
Age,Current_BMI,0.017041796990521656,0.012682560330350739,196
Urinary_Infection,Current_BMI,0.016906083322326286,0.012363025235053145,197
Take_Medicine_for_Diabetes,Current_BMI,0.016705030650209167,0.020245380387364606,198
Age,Urinary_Infection,0.01662899015221323,0.01100292851247133,199
Family_Background_of_Diabetes,BMI,0.016356836830587564,0.013058915956214208,200
Height,Pain_killer,0.016290364419664617,0.01750372880751944,201
Gender,Average_Age,0.016243390196446644,0.009250468011524446,202
Urinary_Infection,Calorie_Intake,0.01617710256030529,0.010836240875055468,203
Diabetic_Year,Risk_Score,0.015810011630283914,0.007469302697612923,204
Urination_Properly,Calorie_Intake,0.015549587123427988,0.010802878595018262,205
Diabetic_Year,Urinary_Infection,0.01544439775788008,0.010112249606430668,206
Zarda_Betel_Leaf,BMI_per_Year,0.015340613723201637,0.017055645513414874,207
Pain_killer,Calorie_Intake,0.015286806389322522,0.01282092767079988,208
Gender,Age_Diabetes,0.015239244081421504,0.020460019647837602,209
Zarda_Betel_Leaf,Pain_killer,0.014993052110330723,0.03352169195766359,210
BMI,Heart_Disease,0.014819790251768475,0.014738276977998463,211
BMI,Take_Medicine_for_Diabetes,0.014817876727260579,0.011921387536703807,212
Average_Age,Pain_killer,0.0147878204089559,0.014752105170830235,213
Average_Weight,Treatment_Score,0.014785250761965874,0.011214370898898528,214
Heart_Disease,BMI_per_Year,0.014749448574792875,0.014720948253334868,215
Job,BMI_Diabetes,0.014614314420614099,0.01330380046171192,216
Water_Consumption,Age_Diff,0.014539769457237625,0.015007124243257357,217
Height,Treatment_Score,0.014458952250715418,0.005030311525328085,218
Take_Insulin,Risk_Score,0.014419694666418825,0.013175710644729097,219
Age,Risk_Score,0.014405869933393586,0.011769654428667257,220
Diabetic_Year,Current_BMI,0.014381581719785042,0.007581411781030548,221
Average_Age,Sleep,0.014294765402067214,0.012230110431986555,222
Family_Background_of_Diabetes,Weight,0.014220464114219003,0.013156628055433403,223
Height,Sleep,0.014180456193523424,0.00795138579011852,224
Weight_Diff,Risk_Score,0.014151688766362719,0.01078857459770305,225
Gender,Current_BMI,0.014143371949311607,0.010523036176111038,226
Calorie_Intake,Risk_Score,0.014091189857569759,0.009586800022983323,227
Family_Background_of_Diabetes,Weight_Diff,0.013907814565786703,0.0122978906977255,228
Smoke,Age_Diff,0.01385046914056857,0.008752741432947088,229
Urination_Properly,BMI_Diabetes,0.013832549462358859,0.01160206108732066,230
Water_Consumption,Walk_Regularly,0.013824968132728214,0.0095189051500335,231
Weight,Treatment_Score,0.013760388812313635,0.012739530896802836,232
Take_Medicine_for_Diabetes,Calorie_Intake,0.013550591694362119,0.011339013455125167,233
Weight,Walk_Regularly,0.013464684031580104,0.011339279948708238,234
Walk_Regularly,Current_BMI,0.013286375572465176,0.009440500837415393,235
Average_Age,Risk_Score,0.013284585071772928,0.009344112988412624,236
Urination_Properly,Treatment_Score,0.013282399149339269,0.009250745727805047,237
Average_Age,Heart_Disease,0.013013498951954134,0.014640863385159901,238
Urinary_Infection,Age_Diabetes,0.012937209035631364,0.007345541613623782,239
Gender,Age,0.012862908873384482,0.010788326387929403,240
Average_Weight,Sleep,0.012858490063777445,0.018537688777972697,241
Heart_Disease,Weight_Diff,0.012820837480330948,0.010192360996827493,242
Gender,Weight_Diff,0.012727494444328863,0.009931150354180216,243
Age_Diabetes,Risk_Score,0.012725926310483932,0.011234755831988068,244
Take_Medicine_for_Diabetes,BMI_Diabetes,0.012722055883515082,0.008822168583169409,245
Take_Insulin,Current_BMI,0.012716909469686602,0.008645574026342988,246
Diabetic_Year,Lifestyle_Score,0.012592472928940732,0.010677112222843942,247
Height,Take_Medicine_for_Diabetes,0.012497859317825877,0.007396568942636942,248
Weight_Diff,Treatment_Score,0.01244265888035992,0.010004100546664084,249
Take_Medicine_for_Diabetes,Age_Diabetes,0.012350059055308251,0.008140318029242173,250
Diabetic_Year,Pain_killer,0.012322087175102298,0.012405046500863678,251
Family_Background_of_Diabetes,Age,0.012250898055995805,0.009263102174095079,252
Job,Average_Weight,0.01222755835962267,0.008757239895505234,253
Pain_killer,BMI_Diabetes,0.012174362183880762,0.014276012096696393,254
Pain_killer,Age_Diabetes,0.012159425970477913,0.011744082817758033,255
Average_Weight,Pain_killer,0.01204801289643751,0.010546049144007445,256
Age,Zarda_Betel_Leaf,0.012000824161757333,0.01638099239521288,257
Average_Age,Follow_suggested_Diet,0.011957267976648528,0.010484919383588165,258
Average_Age,Zarda_Betel_Leaf,0.011954608823946685,0.010238764169370982,259
Age_Diabetes,Treatment_Score,0.011936466400043531,0.011628977599846317,260
Gender,Take_Insulin,0.011922279202179404,0.008565294787048157,261
Age,Sleep,0.01183291426599943,0.012183492991486071,262
Height,Zarda_Betel_Leaf,0.011709746373052965,0.012803622433543747,263
Hypertension,Weight_Diff,0.011673408069871289,0.011882148787499689,264
Zarda_Betel_Leaf,Weight_Diff,0.01165575978411634,0.012364779407011252,265
Family_Background_of_Diabetes,Take_Insulin,0.011605286288667103,0.012586373392075093,266
Diabetic_Year,Smoke,0.01153346691302624,0.008396171425959062,267
Risk_Score,Treatment_Score,0.011526069193519667,0.012266381870511253,268
Diabetic_Year,Sleep,0.011509801008704554,0.017850048035981773,269
Average_Age,Lifestyle_Score,0.011207644711700972,0.007260492926607541,270
Heart_Disease,BMI_Diabetes,0.011188375058337401,0.010559895221709109,271
Weight,Lifestyle_Score,0.010903330453119952,0.010418635825574925,272
Current_BMI,Lifestyle_Score,0.010791969677874033,0.010229834987286203,273
Sleep,Calorie_Intake,0.010719846656298309,0.009929189838579659,274
Take_Medicine_for_Diabetes,Weight_Diff,0.010699999837401228,0.00845888035405897,275
Heart_Disease,Calorie_Intake,0.01065639067579335,0.013277065711635543,276
Height,Hypertension,0.010559432885624737,0.012988485743872586,277
Job,BMI_per_Year,0.010407517540811711,0.007552332442772447,278
Job,Take_Insulin,0.010246959890219445,0.010386322465988515,279
BMI,Sleep,0.01013792913857008,0.010639223063038774,280
Job,Average_Age,0.009966904029072283,0.008190449429698458,281
Urinary_Infection,Treatment_Score,0.009933480674519905,0.008129052055230379,282
Gender,Calorie_Intake,0.009814776614044247,0.008493424090115229,283
Job,Weight_Diff,0.009785829274601475,0.008753366632121435,284
Lifestyle_Score,Treatment_Score,0.009780450787021042,0.01087099865724555,285
Average_Age,Take_Medicine_for_Diabetes,0.00963227339896534,0.008724110185387882,286
Pain_killer,Current_BMI,0.009548553680156972,0.008057683258757808,287
Age,Pain_killer,0.009538411605383147,0.009334504678644533,288
Height,Follow_suggested_Diet,0.009537824678434195,0.008859582879181425,289
Follow_suggested_Diet,Age_Diff,0.009445630851178728,0.009880478532912029,290
Follow_suggested_Diet,Calorie_Intake,0.009441082408939613,0.009362944136890051,291
Job,Current_BMI,0.009436026444738099,0.006395775130071056,292
Urination_Properly,Age_Diff,0.009369572847508464,0.004271320740680772,293
Urinary_Infection,Lifestyle_Score,0.009294177578934342,0.009257279473751191,294
Weight,Risk_Score,0.009254873101555977,0.007314975462123521,295
Hypertension,BMI_Diabetes,0.009194886727480645,0.007529161402465624,296
Sleep,BMI_Diabetes,0.009194015054815109,0.0101435354113025,297
BMI,Hypertension,0.009148321502158215,0.006943393922850754,298
Age,Lifestyle_Score,0.00914461963393116,0.006649684373311191,299
Job,Lifestyle_Score,0.009127926877881665,0.009335689396637165,300
Age,Take_Medicine_for_Diabetes,0.009072247071596812,0.009168651297335595,301
Take_Insulin,Heart_Disease,0.008990651917009948,0.014638413431108367,302
Walk_Regularly,Lifestyle_Score,0.008883419670013057,0.007983594840246123,303
Water_Consumption,Weight_Diff,0.008835455933170753,0.013174970078225164,304
Sleep,BMI_per_Year,0.008797850886083232,0.0075436978178486025,305
Average_Weight,Zarda_Betel_Leaf,0.008758847573139534,0.008005414820353185,306
Zarda_Betel_Leaf,Age_Diabetes,0.008706740655655215,0.006742863196090924,307
Sleep,Current_BMI,0.008686624840934739,0.0077532417543414705,308
Height,Smoke,0.008648597489733064,0.011100471688613332,309
Zarda_Betel_Leaf,Calorie_Intake,0.008632086703833593,0.008133931029177506,310
Family_Background_of_Diabetes,Urinary_Infection,0.008589478301387015,0.011254428053156375,311
Weight,Pain_killer,0.00853241083467533,0.00793474999105047,312
Diabetic_Year,Treatment_Score,0.008467473227139474,0.006850093815716727,313
Age,Treatment_Score,0.00844768255085688,0.006061961546966158,314
Take_Insulin,Urinary_Infection,0.008400881983010325,0.005280207688669589,315
BMI,Urination_Properly,0.008343219324954073,0.007315339946358632,316
Hypertension,Walk_Regularly,0.00830731555333555,0.008464968573115393,317
Diabetic_Year,Take_Medicine_for_Diabetes,0.00824580753753513,0.005299267194516476,318
