Feature_1,Feature_2,Median_Rank,Mean_Rank,Top10_Folds
Diabetic_Year,Calorie_Intake,53.0,90.8,0
Average_Age,BMI,53.0,54.4,0
Weight,Average_Weight,54.0,63.0,0
Calorie_Intake,Age_Diabetes,54.0,67.0,0
Family_Background_of_Diabetes,Height,58.0,77.6,0
BMI,BMI_Diabetes,59.0,75.0,0
Height,Diabetic_Year,60.0,62.2,0
Average_Weight,BMI_per_Year,60.0,62.4,0
Calorie_Intake,BMI_per_Year,60.0,58.0,0
Calorie_Intake,BMI_Diabetes,61.0,78.2,0
Average_Age,Take_Insulin,68.0,146.2,0
Average_Weight,BMI_Diabetes,69.0,75.0,0
Take_Insulin,BMI_per_Year,69.0,89.2,0
Gender,Age_Diff,70.0,69.0,0
Weight,BMI,71.0,66.4,0
Urinary_Infection,Weight_Diff,71.0,76.8,0
BMI,Take_Insulin,72.0,89.6,0
Weight_Diff,BMI_per_Year,74.0,82.0,0
Age_Diff,Lifestyle_Score,74.0,85.0,0
Height,Risk_Score,76.0,80.6,0
BMI,Age_Diabetes,76.0,76.8,0
Height,Current_BMI,77.0,94.0,0
BMI,Weight_Diff,77.0,83.2,0
Age,BMI_Diabetes,78.0,88.0,0
Average_Age,BMI_Diabetes,82.0,98.0,0
Height,Weight_Diff,84.0,76.0,0
Diabetic_Year,Age,85.0,78.4,0
Age,Calorie_Intake,86.0,93.4,0
Gender,Average_Weight,87.0,142.6,0
Average_Age,Walk_Regularly,87.0,123.4,0
Age,BMI,88.0,88.0,0
BMI,Treatment_Score,88.0,87.8,0
Diabetic_Year,Age_Diabetes,89.0,79.6,0
Age_Diabetes,Weight_Diff,89.0,86.0,0
Calorie_Intake,Weight_Diff,91.0,99.0,0
Family_Background_of_Diabetes,BMI_per_Year,92.0,134.2,0
BMI,Walk_Regularly,93.0,121.2,0
Average_Age,BMI_per_Year,95.0,79.2,0
Age,Age_Diabetes,96.0,107.0,0
Age,BMI_per_Year,97.0,104.0,0
Average_Age,Urinary_Infection,98.0,111.6,0
Age_Diabetes,BMI_per_Year,99.0,88.4,0
Age,Average_Weight,101.0,77.6,0
Average_Weight,Age_Diabetes,103.0,97.0,0
Average_Weight,Weight_Diff,103.0,102.6,0
Urinary_Infection,BMI_per_Year,103.0,135.0,0
Age_Diff,Risk_Score,104.0,87.2,0
Gender,Urinary_Infection,107.0,157.8,0
Calorie_Intake,Current_BMI,109.0,118.2,0
Current_BMI,BMI_Diabetes,109.0,137.8,0
Gender,BMI_Diabetes,110.0,140.6,0
Average_Age,Weight_Diff,110.0,116.4,0
Pain_killer,Age_Diff,110.0,84.2,0
Calorie_Intake,Lifestyle_Score,111.0,110.8,0
Average_Weight,Urinary_Infection,112.0,114.4,0
Average_Age,Weight,116.0,100.2,0
Average_Weight,Risk_Score,117.0,132.8,0
Age,Hypertension,118.0,151.8,0
Weight,BMI_Diabetes,120.0,131.0,0
Diabetic_Year,Walk_Regularly,121.0,129.6,0
Age_Diff,Treatment_Score,121.0,130.0,0
BMI_per_Year,Lifestyle_Score,122.0,158.8,0
Take_Insulin,Walk_Regularly,123.0,136.8,0
Walk_Regularly,Calorie_Intake,123.0,159.6,0
Urinary_Infection,Pain_killer,125.0,131.8,0
Urinary_Infection,BMI_Diabetes,125.0,140.4,0
Average_Weight,Walk_Regularly,126.0,122.6,0
Gender,BMI,127.0,116.8,0
Average_Age,Hypertension,127.0,132.6,0
Family_Background_of_Diabetes,Average_Weight,132.0,109.2,0
Walk_Regularly,Urinary_Infection,133.0,160.0,0
Take_Insulin,BMI_Diabetes,134.0,117.6,0
Average_Age,Current_BMI,135.0,127.6,0
Current_BMI,Weight_Diff,135.0,125.4,0
Water_Consumption,Age_Diff,136.0,212.0,0
Average_Weight,Current_BMI,137.0,134.6,0
Current_BMI,Age_Diabetes,137.0,143.4,0
Job,Age_Diff,139.0,137.0,0
Height,Weight,140.0,146.6,0
Weight,Take_Insulin,140.0,127.0,0
Weight,BMI_per_Year,140.0,169.6,0
Current_BMI,BMI_per_Year,141.0,158.6,0
Urination_Properly,Pain_killer,143.0,211.2,0
Family_Background_of_Diabetes,Average_Age,144.0,149.2,0
BMI_Diabetes,Treatment_Score,144.0,149.2,0
Heart_Disease,Age_Diabetes,145.0,197.0,0
Height,Lifestyle_Score,146.0,159.2,0
Diabetic_Year,Take_Insulin,147.0,173.6,0
Age,Weight_Diff,148.0,149.2,0
Average_Weight,Lifestyle_Score,150.0,171.0,0
Job,Height,151.0,149.6,0
BMI,Lifestyle_Score,151.0,174.6,0
Weight,Urinary_Infection,152.0,168.0,0
Urination_Properly,BMI_per_Year,152.0,234.6,0
BMI_per_Year,Treatment_Score,154.0,195.2,0
BMI,Risk_Score,155.0,177.2,0
Average_Weight,Take_Medicine_for_Diabetes,157.0,182.8,0
Walk_Regularly,Weight_Diff,157.0,152.0,0
Weight,Age_Diabetes,159.0,153.8,0
Age,Walk_Regularly,160.0,175.8,0
Average_Age,Age_Diabetes,161.0,135.4,0
BMI_per_Year,Risk_Score,161.0,176.0,0
Diabetic_Year,Weight,162.0,141.8,0
Job,BMI,163.0,193.6,0
Family_Background_of_Diabetes,Diabetic_Year,163.0,155.8,0
Take_Insulin,Weight_Diff,167.0,168.8,0
Diabetic_Year,Weight_Diff,168.0,150.6,0
Job,BMI_Diabetes,169.0,205.6,0
Take_Medicine_for_Diabetes,Age_Diff,169.0,163.2,0
Sleep,Age_Diff,169.0,176.2,0
BMI_Diabetes,Lifestyle_Score,170.0,142.2,0
Walk_Regularly,BMI_per_Year,171.0,165.4,0
Average_Age,Treatment_Score,172.0,165.6,0
Weight,Current_BMI,172.0,181.0,0
Zarda_Betel_Leaf,Age_Diff,172.0,182.0,0
Age,Weight,174.0,178.0,0
BMI,Urinary_Infection,174.0,155.8,0
Heart_Disease,BMI_per_Year,175.0,232.8,0
BMI,Take_Medicine_for_Diabetes,177.0,208.6,0
Take_Insulin,Calorie_Intake,177.0,173.6,0
Weight,Weight_Diff,181.0,166.4,0
Walk_Regularly,BMI_Diabetes,185.0,180.4,0
Urination_Properly,Calorie_Intake,185.0,209.8,0
Current_BMI,Treatment_Score,186.0,189.0,0
Diabetic_Year,Current_BMI,187.0,190.4,0
Water_Consumption,Walk_Regularly,187.0,210.4,0
Urinary_Infection,Calorie_Intake,187.0,187.0,0
Family_Background_of_Diabetes,Calorie_Intake,188.0,183.2,0
Calorie_Intake,Risk_Score,188.0,201.8,0
Gender,BMI_per_Year,190.0,190.0,0
Height,Walk_Regularly,190.0,176.2,0
Age,Urinary_Infection,190.0,184.2,0
Family_Background_of_Diabetes,Age_Diabetes,191.0,198.8,0
Height,Heart_Disease,191.0,201.0,0
Walk_Regularly,Age_Diabetes,191.0,203.0,0
Diabetic_Year,Risk_Score,192.0,173.6,0
Age_Diabetes,Lifestyle_Score,193.0,228.4,0
Weight_Diff,Treatment_Score,193.0,230.2,0
Pain_killer,Weight_Diff,195.0,190.6,0
Weight_Diff,Lifestyle_Score,196.0,175.2,0
Weight,Calorie_Intake,197.0,185.8,0
Take_Medicine_for_Diabetes,Urinary_Infection,197.0,283.0,0
Gender,Current_BMI,199.0,215.4,0
Family_Background_of_Diabetes,BMI,199.0,225.8,0
BMI,Zarda_Betel_Leaf,200.0,219.0,0
BMI_Diabetes,Risk_Score,200.0,187.6,0
Urinary_Infection,Age_Diabetes,201.0,206.6,0
Age,Current_BMI,202.0,190.2,0
Heart_Disease,Weight_Diff,202.0,229.4,0
Average_Age,Sleep,204.0,213.8,0
Urinary_Infection,Current_BMI,204.0,201.6,0
Pain_killer,Lifestyle_Score,204.0,206.2,0
BMI,Pain_killer,206.0,188.0,0
Diabetic_Year,Urinary_Infection,207.0,203.0,0
Weight,Walk_Regularly,207.0,230.8,0
Height,Treatment_Score,208.0,186.0,0
Family_Background_of_Diabetes,Weight,209.0,242.2,0
Height,Sleep,209.0,199.4,0
Gender,Average_Age,211.0,194.2,0
Pain_killer,Calorie_Intake,211.0,208.8,0
Take_Insulin,Current_BMI,214.0,224.2,0
Gender,Calorie_Intake,217.0,265.8,0
Average_Weight,Pain_killer,217.0,261.6,0
Age_Diabetes,Risk_Score,217.0,258.4,0
Age,Take_Insulin,218.0,173.8,0
Family_Background_of_Diabetes,Weight_Diff,219.0,247.2,0
Average_Age,Risk_Score,221.0,227.6,0
Take_Insulin,Age_Diabetes,221.0,200.2,0
Age,Risk_Score,222.0,247.8,0
Average_Weight,Treatment_Score,223.0,208.4,0
Gender,Weight_Diff,224.0,253.6,0
BMI,Heart_Disease,226.0,240.0,0
Urination_Properly,Treatment_Score,226.0,271.8,0
Height,Take_Medicine_for_Diabetes,227.0,216.4,0
Height,Pain_killer,227.0,259.4,0
Take_Insulin,Urination_Properly,228.0,216.4,0
Family_Background_of_Diabetes,BMI_Diabetes,229.0,207.0,0
Take_Medicine_for_Diabetes,BMI_Diabetes,229.0,229.4,0
Family_Background_of_Diabetes,Age,230.0,246.0,0
Walk_Regularly,Current_BMI,231.0,237.8,0
Weight_Diff,Risk_Score,233.0,214.6,0
Urinary_Infection,Treatment_Score,234.0,254.0,0
Urination_Properly,BMI_Diabetes,236.0,252.6,0
Job,Weight,237.0,292.8,0
Diabetic_Year,Treatment_Score,237.0,277.0,0
Average_Weight,Heart_Disease,238.0,227.6,0
Smoke,Age_Diff,238.0,223.6,0
Diabetic_Year,Zarda_Betel_Leaf,241.0,186.8,0
Average_Age,Pain_killer,241.0,239.8,0
Pain_killer,Age_Diabetes,242.0,254.8,0
Average_Age,Take_Medicine_for_Diabetes,244.0,267.6,0
Job,Average_Age,245.0,262.0,0
Diabetic_Year,Smoke,246.0,282.6,0
Gender,Take_Insulin,249.0,239.2,0
Average_Age,Heart_Disease,249.0,251.2,0
Average_Age,Follow_suggested_Diet,250.0,288.4,0
Calorie_Intake,Treatment_Score,250.0,243.6,0
Job,Average_Weight,251.0,234.4,0
Diabetic_Year,Lifestyle_Score,251.0,260.8,0
Hypertension,Age_Diff,252.0,227.4,0
Heart_Disease,BMI_Diabetes,253.0,268.4,0
Pain_killer,BMI_per_Year,253.0,227.8,0
Average_Age,Lifestyle_Score,254.0,243.0,0
Gender,Age,257.0,268.0,0
Diabetic_Year,Pain_killer,257.0,243.6,0
Follow_suggested_Diet,Calorie_Intake,258.0,315.0,0
Take_Medicine_for_Diabetes,Calorie_Intake,261.0,252.0,0
Follow_suggested_Diet,BMI_per_Year,262.0,277.0,0
Take_Medicine_for_Diabetes,Age_Diabetes,262.0,248.8,0
Diabetic_Year,Water_Consumption,263.0,295.2,0
Average_Age,Zarda_Betel_Leaf,264.0,235.8,0
Average_Weight,Zarda_Betel_Leaf,264.0,291.8,0
Gender,Age_Diabetes,268.0,279.2,0
Take_Insulin,Urinary_Infection,268.0,272.2,0
Walk_Regularly,Risk_Score,269.0,232.0,0
BMI,Hypertension,270.0,297.6,0
Gender,Pain_killer,272.0,289.4,0
Weight,Treatment_Score,272.0,250.0,0
Pain_killer,BMI_Diabetes,272.0,263.0,0
BMI,Urination_Properly,273.0,309.0,0
Sleep,Calorie_Intake,273.0,289.2,0
Job,Take_Insulin,275.0,280.4,0
Walk_Regularly,Lifestyle_Score,278.0,327.2,0
Age,Sleep,279.0,282.0,0
Weight,Heart_Disease,279.0,321.6,0
Take_Insulin,Risk_Score,281.0,260.8,0
Weight,Lifestyle_Score,283.0,283.6,0
BMI,Sleep,284.0,280.4,0
Diabetic_Year,Take_Medicine_for_Diabetes,285.0,278.4,0
Age,Follow_suggested_Diet,285.0,265.4,0
Gender,Walk_Regularly,287.0,312.6,0
Age,Take_Medicine_for_Diabetes,288.0,304.2,0
Urination_Properly,Age_Diff,288.0,258.6,0
Heart_Disease,Walk_Regularly,289.0,275.0,0
Hypertension,BMI_per_Year,290.0,329.0,0
Age,Treatment_Score,291.0,289.8,0
Take_Insulin,Pain_killer,292.0,300.4,0
Water_Consumption,BMI_per_Year,293.0,345.8,0
Urinary_Infection,Lifestyle_Score,293.0,297.6,0
Zarda_Betel_Leaf,BMI_Diabetes,294.0,279.6,0
Job,Age_Diabetes,295.0,283.2,0
Take_Insulin,Heart_Disease,295.0,315.6,0
Age,Lifestyle_Score,296.0,293.2,0
Zarda_Betel_Leaf,Calorie_Intake,296.0,323.2,0
Zarda_Betel_Leaf,Age_Diabetes,296.0,306.0,0
Job,Age,297.0,308.6,0
Weight,Risk_Score,298.0,290.8,0
Take_Medicine_for_Diabetes,Weight_Diff,298.0,282.4,0
Take_Insulin,Smoke,298.0,321.0,0
Urination_Properly,Weight_Diff,299.0,303.8,0
Risk_Score,Treatment_Score,300.0,285.4,0
Job,BMI_per_Year,301.0,271.8,0
Height,Water_Consumption,302.0,304.2,0
Height,Follow_suggested_Diet,303.0,336.2,0
Age,Pain_killer,303.0,296.0,0
Zarda_Betel_Leaf,BMI_per_Year,305.0,281.2,0
Job,Diabetic_Year,307.0,269.4,0
Pain_killer,Current_BMI,307.0,299.6,0
Job,Weight_Diff,308.0,301.4,0
Height,Hypertension,308.0,306.4,0
Gender,Job,309.0,307.0,0
Weight,Pain_killer,309.0,315.0,0
Water_Consumption,BMI_Diabetes,310.0,301.4,0
Lifestyle_Score,Risk_Score,310.0,319.0,0
Gender,Weight,311.0,287.8,0
Age,Heart_Disease,311.0,260.4,0
Hypertension,Age_Diabetes,311.0,321.0,0
Diabetic_Year,Hypertension,313.0,314.8,0
BMI,Smoke,313.0,319.8,0
Job,Calorie_Intake,314.0,308.8,0
Take_Insulin,Lifestyle_Score,314.0,292.2,0
Sleep,BMI_per_Year,314.0,314.8,0
Hypertension,BMI_Diabetes,315.0,311.6,0
Sleep,Age_Diabetes,316.0,293.0,0
Job,Current_BMI,317.0,288.6,0
Hypertension,Walk_Regularly,317.0,343.0,0
Family_Background_of_Diabetes,Current_BMI,318.0,326.6,0
Take_Medicine_for_Diabetes,BMI_per_Year,318.0,323.0,0
Family_Background_of_Diabetes,Walk_Regularly,319.0,279.6,0
Average_Weight,Hypertension,319.0,320.0,0
Gender,Diabetic_Year,322.0,313.4,0
Follow_suggested_Diet,Age_Diff,322.0,308.4,0
Family_Background_of_Diabetes,Urinary_Infection,323.0,322.2,0
Heart_Disease,Current_BMI,324.0,341.6,0
Sleep,Current_BMI,324.0,306.8,0
Current_BMI,Lifestyle_Score,326.0,289.8,0
Current_BMI,Risk_Score,326.0,325.4,0
Urination_Properly,Age_Diabetes,329.0,336.2,0
Job,Lifestyle_Score,330.0,309.8,0
Take_Medicine_for_Diabetes,Current_BMI,330.0,269.4,0
Heart_Disease,Urinary_Infection,331.0,307.4,0
Walk_Regularly,Pain_killer,332.0,363.2,0
Family_Background_of_Diabetes,Take_Insulin,333.0,277.4,0
Take_Insulin,Sleep,333.0,349.0,0
Take_Insulin,Water_Consumption,334.0,348.8,0
Hypertension,Calorie_Intake,335.0,291.4,0
Sleep,Weight_Diff,335.0,326.8,0
Sleep,BMI_Diabetes,336.0,331.8,0
Zarda_Betel_Leaf,Walk_Regularly,336.0,343.8,0
Follow_suggested_Diet,BMI_Diabetes,338.0,384.4,0
Water_Consumption,Risk_Score,339.0,347.8,0
Height,Urination_Properly,340.0,348.4,0
Age,Water_Consumption,340.0,375.8,0
Weight,Take_Medicine_for_Diabetes,340.0,323.2,0
Diabetic_Year,Urination_Properly,342.0,320.6,0
Zarda_Betel_Leaf,Current_BMI,343.0,339.0,0
Age,Zarda_Betel_Leaf,346.0,299.6,0
Zarda_Betel_Leaf,Weight_Diff,346.0,311.0,0
Urination_Properly,Urinary_Infection,347.0,351.6,0
Diabetic_Year,Sleep,348.0,318.8,0
Follow_suggested_Diet,Current_BMI,349.0,374.6,0
Heart_Disease,Calorie_Intake,349.0,304.2,0
Job,Urinary_Infection,350.0,335.8,0
Family_Background_of_Diabetes,Pain_killer,350.0,361.6,0
Height,Zarda_Betel_Leaf,350.0,305.4,0
Gender,Hypertension,351.0,399.0,0
Hypertension,Weight_Diff,351.0,302.4,0
Smoke,Urinary_Infection,352.0,392.6,0
Age_Diabetes,Treatment_Score,352.0,292.6,0
Height,Smoke,353.0,320.4,0
BMI,Follow_suggested_Diet,353.0,354.6,0
Sleep,Treatment_Score,353.0,374.0,0
Family_Background_of_Diabetes,Lifestyle_Score,354.0,354.8,0
Take_Insulin,Zarda_Betel_Leaf,354.0,334.4,0
Average_Weight,Urination_Properly,355.0,309.2,0
Weight,Zarda_Betel_Leaf,356.0,359.6,0
Hypertension,Treatment_Score,357.0,384.8,0
Heart_Disease,Lifestyle_Score,357.0,347.0,0
Age,Urination_Properly,359.0,367.8,0
Average_Weight,Sleep,361.0,279.2,0
Water_Consumption,Weight_Diff,361.0,345.6,0
Gender,Risk_Score,362.0,348.4,0
Water_Consumption,Age_Diabetes,362.0,384.2,0
Urinary_Infection,Risk_Score,366.0,332.0,0
Average_Age,Urination_Properly,368.0,351.4,0
Follow_suggested_Diet,Age_Diabetes,368.0,368.8,0
Smoke,BMI_per_Year,368.0,343.2,0
Follow_suggested_Diet,Weight_Diff,369.0,370.8,0
Take_Medicine_for_Diabetes,Pain_killer,370.0,389.8,0
Job,Zarda_Betel_Leaf,372.0,342.8,0
Family_Background_of_Diabetes,Urination_Properly,372.0,401.8,0
BMI,Water_Consumption,373.0,371.0,0
Family_Background_of_Diabetes,Treatment_Score,374.0,369.0,0
Pain_killer,Treatment_Score,376.0,322.4,0
Lifestyle_Score,Treatment_Score,377.0,331.0,0
Heart_Disease,Risk_Score,380.0,396.4,0
Smoke,Calorie_Intake,380.0,342.2,0
Smoke,Age_Diabetes,382.0,366.6,0
Average_Weight,Water_Consumption,383.0,287.2,0
Take_Medicine_for_Diabetes,Walk_Regularly,385.0,365.6,0
Take_Insulin,Hypertension,385.0,340.4,0
Pain_killer,Risk_Score,385.0,365.8,0
Urination_Properly,Current_BMI,388.0,404.0,0
Average_Age,Smoke,389.0,378.4,0
Zarda_Betel_Leaf,Treatment_Score,391.0,416.2,0
Take_Medicine_for_Diabetes,Risk_Score,392.0,370.8,0
Job,Walk_Regularly,393.0,386.2,0
Gender,Lifestyle_Score,394.0,380.4,0
Weight,Hypertension,394.0,394.4,0
Take_Medicine_for_Diabetes,Lifestyle_Score,394.0,411.0,0
Job,Heart_Disease,395.0,385.0,0
Take_Medicine_for_Diabetes,Take_Insulin,396.0,407.6,0
Zarda_Betel_Leaf,Lifestyle_Score,396.0,393.8,0
Gender,Family_Background_of_Diabetes,397.0,387.0,0
Weight,Urination_Properly,397.0,388.6,0
Water_Consumption,Lifestyle_Score,399.0,373.0,0
Hypertension,Lifestyle_Score,400.0,375.8,0
Smoke,Current_BMI,402.0,423.8,0
Zarda_Betel_Leaf,Urinary_Infection,402.0,381.0,0
Family_Background_of_Diabetes,Heart_Disease,404.0,387.8,0
Sleep,Walk_Regularly,404.0,418.6,0
Hypertension,Current_BMI,406.0,387.2,0
Sleep,Pain_killer,409.0,391.6,0
Urination_Properly,Risk_Score,409.0,356.0,0
Heart_Disease,Treatment_Score,412.0,408.6,0
Age,Smoke,413.0,428.6,0
Average_Age,Water_Consumption,414.0,374.4,0
Follow_suggested_Diet,Urinary_Infection,415.0,393.0,0
Urination_Properly,Lifestyle_Score,416.0,427.4,0
Family_Background_of_Diabetes,Take_Medicine_for_Diabetes,417.0,403.2,0
Sleep,Lifestyle_Score,417.0,426.4,0
Job,Treatment_Score,418.0,387.6,0
Weight,Sleep,419.0,391.8,0
Take_Medicine_for_Diabetes,Heart_Disease,420.0,356.2,0
Job,Pain_killer,421.0,400.2,0
Family_Background_of_Diabetes,Risk_Score,421.0,379.4,0
Average_Weight,Follow_suggested_Diet,421.0,409.6,0
Family_Background_of_Diabetes,Follow_suggested_Diet,422.0,460.0,0
Diabetic_Year,Heart_Disease,423.0,372.2,0
Follow_suggested_Diet,Take_Insulin,423.0,419.4,0
Diabetic_Year,Follow_suggested_Diet,425.0,391.6,0
Weight,Follow_suggested_Diet,425.0,431.6,0
Heart_Disease,Sleep,426.0,442.0,0
Water_Consumption,Current_BMI,427.0,412.4,0
Smoke,BMI_Diabetes,428.0,395.6,0
Weight,Water_Consumption,429.0,419.2,0
Average_Weight,Smoke,430.0,403.6,0
Sleep,Risk_Score,431.0,433.8,0
Family_Background_of_Diabetes,Zarda_Betel_Leaf,432.0,408.6,0
Walk_Regularly,Urination_Properly,433.0,440.2,0
Weight,Smoke,434.0,435.2,0
Sleep,Urinary_Infection,434.0,428.0,0
Smoke,Weight_Diff,435.0,425.2,0
Take_Medicine_for_Diabetes,Zarda_Betel_Leaf,436.0,445.2,0
Heart_Disease,Pain_killer,437.0,408.4,0
Follow_suggested_Diet,Risk_Score,439.0,445.2,0
Water_Consumption,Calorie_Intake,439.0,413.2,0
Hypertension,Water_Consumption,440.0,444.4,0
Gender,Heart_Disease,442.0,413.6,0
Job,Risk_Score,443.0,426.2,0
Job,Take_Medicine_for_Diabetes,444.0,438.6,0
Follow_suggested_Diet,Pain_killer,444.0,398.8,0
Hypertension,Urinary_Infection,445.0,407.4,0
Hypertension,Risk_Score,445.0,442.4,0
Job,Family_Background_of_Diabetes,446.0,409.8,0
Job,Smoke,446.0,427.2,0
Gender,Follow_suggested_Diet,451.0,440.8,0
Heart_Disease,Zarda_Betel_Leaf,451.0,468.8,0
Follow_suggested_Diet,Heart_Disease,452.0,450.8,0
Gender,Take_Medicine_for_Diabetes,454.0,422.2,0
Job,Sleep,454.0,424.0,0
Water_Consumption,Zarda_Betel_Leaf,454.0,462.8,0
Water_Consumption,Treatment_Score,455.0,451.6,0
Zarda_Betel_Leaf,Risk_Score,456.0,447.4,0
Take_Insulin,Treatment_Score,457.0,454.4,0
Walk_Regularly,Treatment_Score,458.0,433.6,0
Gender,Sleep,462.0,467.8,0
Job,Hypertension,463.0,433.0,0
Follow_suggested_Diet,Lifestyle_Score,464.0,402.6,0
Follow_suggested_Diet,Take_Medicine_for_Diabetes,465.0,461.8,0
Hypertension,Urination_Properly,465.0,461.0,0
Take_Medicine_for_Diabetes,Sleep,466.0,418.2,0
Follow_suggested_Diet,Walk_Regularly,467.0,477.8,0
Follow_suggested_Diet,Zarda_Betel_Leaf,468.0,454.4,0
Hypertension,Pain_killer,468.0,472.8,0
Smoke,Lifestyle_Score,469.0,462.0,0
Gender,Treatment_Score,470.0,455.2,0
Smoke,Pain_killer,470.0,458.2,0
Gender,Water_Consumption,472.0,417.0,0
Family_Background_of_Diabetes,Sleep,472.0,454.6,0
Take_Medicine_for_Diabetes,Treatment_Score,472.0,471.4,0
Heart_Disease,Urination_Properly,473.0,446.4,0
Hypertension,Sleep,475.0,430.0,0
Smoke,Walk_Regularly,477.0,468.6,0
Take_Medicine_for_Diabetes,Water_Consumption,478.0,485.8,0
Smoke,Treatment_Score,478.0,471.8,0
Follow_suggested_Diet,Treatment_Score,479.0,476.6,0
Follow_suggested_Diet,Urination_Properly,481.0,425.6,0
Water_Consumption,Urinary_Infection,481.0,420.6,0
Family_Background_of_Diabetes,Hypertension,482.0,444.6,0
Gender,Urination_Properly,483.0,473.4,0
Job,Water_Consumption,483.0,471.8,0
Sleep,Smoke,483.0,446.6,0
Smoke,Risk_Score,484.0,447.8,0
Take_Medicine_for_Diabetes,Hypertension,486.0,465.0,0
Job,Urination_Properly,487.0,485.4,0
Water_Consumption,Urination_Properly,487.0,466.6,0
Follow_suggested_Diet,Sleep,490.0,485.2,0
Sleep,Water_Consumption,492.0,484.6,0
Gender,Zarda_Betel_Leaf,493.0,489.4,0
Take_Medicine_for_Diabetes,Urination_Properly,493.0,472.2,0
Hypertension,Smoke,493.0,484.0,0
Sleep,Urination_Properly,493.0,471.2,0
Heart_Disease,Water_Consumption,495.0,455.0,0
Family_Background_of_Diabetes,Water_Consumption,497.0,472.2,0
Water_Consumption,Pain_killer,499.0,492.8,0
Hypertension,Heart_Disease,500.0,493.2,0
Follow_suggested_Diet,Hypertension,502.0,482.6,0
Follow_suggested_Diet,Water_Consumption,503.0,490.2,0
Follow_suggested_Diet,Smoke,503.0,494.0,0
Sleep,Zarda_Betel_Leaf,504.0,465.2,0
Zarda_Betel_Leaf,Pain_killer,505.0,412.4,0
Smoke,Urination_Properly,506.0,498.4,0
Zarda_Betel_Leaf,Urination_Properly,506.0,493.8,0
Gender,Smoke,507.0,503.2,0
Job,Follow_suggested_Diet,508.0,504.8,0
Take_Medicine_for_Diabetes,Smoke,509.0,503.2,0
Water_Consumption,Smoke,512.0,495.2,0
Heart_Disease,Smoke,513.0,498.6,0
Smoke,Zarda_Betel_Leaf,513.0,514.4,0
Hypertension,Zarda_Betel_Leaf,520.0,492.2,0
Family_Background_of_Diabetes,Smoke,521.0,510.0,0
